No.,Label,Occupancy Class,Slight,Moderate,Extensive,Complete
1,RES1,Single Family Dwelling,1.00,5.00,25.00,50.00
2,RES2,Mobile Home,0.80,3.80,18.90,37.80
3-8,RES3a-f,Multi Family Dwelling,0.90,4.30,21.30,42.50
9,RES4,Temporary Lodging,0.90,4.30,21.60,43.20
10,RES5,Institutional Dormitory,0.80,4.00,20.00,40.00
11,RES6,Nursing Home,0.80,4.10,20.40,40.80
12,COM1,Retail Trade,0.60,2.70,13.80,27.50
13,COM2,Wholesale Trade,0.60,2.60,13.20,26.50
14,COM3,Personal and Repair Services,0.70,3.40,16.90,33.80
15,COM4,Professional/Technical/ Business Services,0.70,3.30,16.40,32.90
16,COM5,Banks/Financial Institutions,0.70,3.40,17.20,34.50
17,COM6,Hospital,0.80,3.50,17.40,34.70
18,COM7,Medical Office/Clinic,0.70,3.40,17.20,34.40
19,COM8,Entertainment & Recreation,0.70,3.60,17.80,35.60
20,COM9,Theaters,0.70,3.50,17.60,35.10
21,COM10,Parking,0.40,1.70,8.70,17.40
22,IND1,Heavy,0.20,1.20,5.90,11.80
23,IND2,Light,0.20,1.20,5.90,11.80
24,IND3,Food/Drugs/Chemicals,0.20,1.20,5.90,11.80
25,IND4,Metals/Minerals Processing,0.20,1.20,5.90,11.80
26,IND5,High Technology,0.20,1.20,5.90,11.80
27,IND6,Construction,0.20,1.20,5.90,11.80
28,AGR1,Agriculture,0,0.8,3.8,7.7
29,REL1,Church/Membership Organization,0.8,3.3,16.3,32.6
30,GOV1,General Services,0.7,3.3,16.4,32.8
31,GOV2,Emergency Response,0.7,3.4,17.1,34.2
32,EDU1,Schools/Libraries,0.9,4.9,24.3,48.7
33,EDU2,Colleges/Universities,1.2,6,30,60